first_name,group_name,classification,frequency_female,frequency_male,frequency_total,frequency_group,ratio,alternative_names
"AIEZER","AIEZER","M","",27,27,27,1,""
"AIGO","IAGO","M","",42,42,123844,1,"AIGOR|HIAGO|HIAGOR|HYAGO|IAGHO|IAGO|IAGOR|IHAGO|YAGHO|YAGO|YAGOR|YHAGO"
"AIGOR","IAGO","M","",35,35,123844,1,"AIGO|HIAGO|HIAGOR|HYAGO|IAGHO|IAGO|IAGOR|IHAGO|YAGHO|YAGO|YAGOR|YHAGO"
"AIJALON","AIJALON","M","",31,31,31,1,""
"AIKA","AIKA","F",107,"",107,345,1,"AICA|AYKA|HAICA|HAIKA|HAYCA|HAYKA|IACA|YAKA"
"AIKE","AICE","M","",72,72,180,1,"AICE|AYKE"
"AIKO","AIKO","F",499,74,573,784,0.87,"AICO|AYKO|IACO|YAKO"
"AIKON","AICON","M","",37,37,106,1,"AICON|AYKON"
"AIL","YAEL","M","",26,26,476,1,"AEL|AL|EL|HIEL|HIL|HOEL|IEL|IL|OEL|UEL|UIL|YAEL|YUL"
"AILA","AILA","F",9190,53,9243,23950,0.99,"AILHA|AIULA|ALA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLA|OLAR|UAILA|UALA|UEILA|UILA|UILHA|ULA|YALA|YLA|YOLA|YULA"
"AILAINE","ELIANE","F",37,"",37,646823,1,"AELAINE|AELIANE|ALAINE|ALAYNE|ALAYNNE|ALIANE|ALIANNE|ALYANE|AULIANE|EILAINE|EILIANE|ELAIINE|ELAINE|ELAINER|ELAINNE|ELAYNE|ELAYNNE|ELHAINE|ELIANAE|ELIANE|ELIANNE|ELIIANE|ELYANE|EULAINE|EULIANE|HELAINE|HELAINNE|HELAYNE|HELIANE|HILAINE|HILIANE|HULIANE|IELAINE|ILAINE|ILAYNE|ILIANE|IOLAINE|IULIANE|LAINE|LAINER|LAINNE|LAUINE|LAYNE|LAYNNE|LIANE|LIANNE|LIIANE|LUIANE|LUYANE|LUYANNE|LYANE|LYANNE|OLAINE|OLIANE|UELAINE|UELIANE|UILIANE|ULIANE|YULIANE"
"AILAM","ALAN","M","",23,23,221601,1,"AALAN|AHLAM|AILAN|ALAAN|ALAM|ALAN|ALANN|AYLAN|EILAN|ELAM|ELAN|EULAN|HAILAN|HALAN|HAYLAN|HELAN|HILAN|HUILHAN|IALAN|ILAM|ILAN|ILHAM|ILHAN|IOLAN|LAAN|LAM|LAN|OLAN|UALAN|UILAM|UILAN|UILHAM|UILHAN|YLAN"
"AILAN","ALAN","M",61,521,582,221601,0.9,"AALAN|AHLAM|AILAM|ALAAN|ALAM|ALAN|ALANN|AYLAN|EILAN|ELAM|ELAN|EULAN|HAILAN|HALAN|HAYLAN|HELAN|HILAN|HUILHAN|IALAN|ILAM|ILAN|ILHAM|ILHAN|IOLAN|LAAN|LAM|LAN|OLAN|UALAN|UILAM|UILAN|UILHAM|UILHAN|YLAN"
"AILANA","ALANA","F",1068,"",1068,106159,1,"ALANA|ALANAH|ALANNA|ALANNAH|AYLANA|AYLANNA|EILANA|ELANA|ELANNA|EULANA|HAILANA|HALANA|HALANNA|HAYLANA|HELANA|HILANA|HILANNA|HOLANA|HYLANA|IALANA|ILANA|ILANNA|ILHANA|IOLANA|IULANA|LAANA|LAHANA|LAHANNA|LANA|LANAH|LANNA|LHANA|OLANA|UILANA|ULANA|YALANA|YLANA|YLANNA|YOLANA"
"AILANDA","IOLANDA","F",29,"",29,72360,1,"AIOLANDA|ALANDA|ELANDA|EOLANDA|EULANDA|HIOLANDA|HOLANDA|HYOLANDA|IHOLANDA|ILANDA|IOALANDA|IOLANDA|LANDA|OLANDA|YIOLANDA|YOLANDA"
"AILANE","ELANE","F",1079,"",1079,49187,1,"ALANE|ALANNE|ALHANE|AYLANE|AYLANNE|EILANE|ELANE|ELANHE|ELANNE|ELHANE|EULANE|EYLANE|HAILANE|HALANE|HAYLANE|HEILANE|HELANE|HELANNE|HILANE|IALANE|IELANE|ILANE|ILANNE|ILHANE|IOLANE|IULANE|LAANE|LANE|LANER|LANNE|OLANE|UELANE|UILANE|ULANE|YLANE|YOLANE"
"AILANI","ALANI","F",46,"",46,10961,1,"AILANY|ALANEI|ALANI|ALANIR|ALANNI|ALANNY|ALANY|EILANI|ELANI|ELANIR|ELANNI|ELANNY|ELANY|EULANI|EULANIR|HELANI|HELANY|ILANI|ILANIR|ILANY|IOLANI|LANEI|LANI|LANIR|LANNY|LANY|OLANI|OLANIR"
"AILANY","ALANI","F",43,"",43,10961,1,"AILANI|ALANEI|ALANI|ALANIR|ALANNI|ALANNY|ALANY|EILANI|ELANI|ELANIR|ELANNI|ELANNY|ELANY|EULANI|EULANIR|HELANI|HELANY|ILANI|ILANIR|ILANY|IOLANI|LANEI|LANI|LANIR|LANNY|LANY|OLANI|OLANIR"
"AILCA","ILKA","F",92,"",92,10914,1,"AILKA|ELCA|ELKA|HELCA|HELKA|HILCA|HILKA|ILCA|ILKA|UILCA|UILKA|YLCA|YLKA"
"AILCE","ILCE","F",227,"",227,5215,1,"ALCE|ALCER|ELCE|ELKE|ELKER|HELCE|HELKE|HELKER|HILCE|ILCE|ILKE|ILKER|UELKER|UILKE|UILKER"
"AILDA","ILDA","F",1546,"",1546,195110,1,"AELDA|ALBA|ALBAR|ALDA|ALDAR|EILDA|ELBA|ELDA|ELDAR|EULDA|HAILDA|HALDA|HELBA|HELDA|HIELDA|HILDA|HLDA|HOLDA|HULDA|HYLDA|IALDA|IELBA|IELDA|ILBA|ILDA|ILDAR|IULDA|LDA|OILDA|OLDA|UELBA|UELDA|UILDA|ULDA|YLDA"
"AILDE","ELDER","F",239,24,263,48584,0.91,"ALBE|ALBER|ALDE|ALDER|EILDE|ELBE|ELBER|ELDE|ELDER|HALDER|HELBE|HELBER|HELDE|HELDER|HILBER|HILDE|HILDER|HUELBER|HUELDER|ILBE|ILBER|ILDE|ILDER|OLDE|OLDER|UELBE|UELBER|UELDE|UELDER|UILBER|UILDE|UILDER"
"AILDES","ELDES","F",321,39,360,4067,0.89,"ALBES|ALDES|ELBES|ELDES|HELDES|HILDES|IELDES|ILDES|UELDES|UILDES"
"AILDETE","ILDETE","F",24,"",24,11496,1,"ALBETE|ALDETE|ELDETE|HILDETE|ILDETE|OLDETE"
"AILDIL","ILDEL","F",21,"",21,274,1,"ALBEL|ALDAIL|ALDIEL|ILDEL|UELDEL"
"AILDO","ALDO","M","",1194,1194,55958,1,"AELDO|ALBO|ALDO|ALDOR|EALDO|EILDO|ELBO|ELDO|ELDOR|EUALDO|HAILDO|HALDO|HELDO|HILDO|HILDOR|IALDO|IELDO|ILDO|ILDOR|LDO|OILDO|UALDO|UELDO|UILDO"
"AILDON","ELDON","M","",119,119,2050,1,"ALDON|ELDOM|ELDON|HELDON|HILDON|ILDOM|ILDON|UELDON|UILDON"
"AILDSON","ELDSON","M","",40,40,1236,1,"ALBSON|ALDSON|ELBSON|ELDSON|HELDSON|HILDSON|HULDSON|ILDSON|UELDSON|UILDSON|ULDSON"
"AILE","EULER","F",119,26,145,12371,0.82,"AELE|ALAER|ALE|ALER|AULER|AYLE|EILER|ELE|ELER|EULE|EULER|EULHER|HAILE|HALE|HEILER|HELE|HELER|HEULER|HIALE|HILER|HULE|IALE|IELE|ILE|ILER|IOLE|IULE|LAE|LAER|LE|OLE|UELE|UELER|UEULER|UILE|UILER|ULE|YALE|YOLE|YULE"
"AILEDA","LEDA","F",25,"",25,39656,1,"ALEDA|ELEDA|HELEDA|ILEDA|LEDA|OLEDA"
"AILEEN","EILEEN","F",45,"",45,160,1,"EILEEN|ELEEN"
"AILEMA","ELEMAR","F",38,"",38,3834,1,"ALEMAR|ELEMA|ELEMAR|HELEMA|HELEMAR|ILEMAR|LEMA|LEMAR|OLEMA|OLEMAR"
"AILEN","ELEN","F",49,"",49,118921,1,"AELEM|AELEN|ALEM|ALEN|AYLEN|EILEN|ELEM|ELEN|ELENN|ELHEM|ELHEN|EULEM|EULEN|HALEM|HALEN|HELEM|HELEN|HELENN|HILEM|HILEN|HUELEN|IALEM|IALEN|IELEM|IELEN|ILEM|ILEN|LEN|UALEN|UELEM|UELEN|UILEM|UILEN|YALEN|YELEN"
"AILENE","LENE","F",121,"",121,11263,1,"ALAENE|ALENE|AULENE|EILENE|ELAENE|ELENE|EULENE|HELENE|HILENE|ILAENE|ILENE|IOLENE|IULENE|LAENE|LAENNE|LENE|LENER|LENNE|LENNER|OLENE|YOLENE"
"AILES","ALES","M",36,46,82,1828,0.56,"ALES|ALEZ|ELES|EULES|HALES|HELES|IALES|ILES|LAES|LES|UALES|UELES|UILES|YALES"
"AILHA","AILA","F",35,"",35,23950,1,"AILA|AIULA|ALA|ALAA|ALAR|ALHA|AULA|AYALA|AYLA|EILA|ELA|ELAR|ELHA|EOLA|EULA|EULAR|EYLA|HAILA|HALA|HAYALA|HAYLA|HEILA|HELA|HELHA|HEULA|HEYLA|HIALA|HILA|HIULA|HUILHA|HYLA|IAILA|IALA|IELA|ILA|ILAR|ILHA|IOLA|IOLAR|IULA|LA|LAR|OLA|OLAR|UAILA|UALA|UEILA|UILA|UILHA|ULA|YALA|YLA|YOLA|YULA"
"AILI","ELI","F",48,"",48,70523,1,"AELI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY"
"AILIA","LIA","F",47,"",47,68767,1,"AALIYAH|AELIA|ALAI|ALAIR|ALAUIR|ALAY|ALAYR|ALIA|ALYA|ALYAH|AULAIR|AULIA|ELAI|ELAIR|ELHIA|ELIA|ELIAA|ELIAH|ELIAR|ELYA|EUALIA|EULAIR|EULIA|HALIA|HELAIR|HELIA|HILIA|ILAI|ILAIR|ILIA|IULIA|LAHIR|LAI|LAIR|LAUIR|LAY|LAYR|LIA|LIAH|LIIA|LUIA|LYA|OELIA|OLAI|OLAIR|OLIA|UELIA|UILHIA|UILIA|ULIA|YULIA"
"AILIM","LIN","F",24,"",24,2307,1,"AILIN|AILYN|ALIM|ALIN|ALINR|AYLIN|EELIN|EILIN|ELIM|ELIN|ELYN|HALIM|HALIN|HELIM|HELIN|HELYN|LIM|LIN|LYN|LYNN|OLIN|UILIN"
"AILIME","ALIME","F",56,"",56,210,1,"ALIME|ELIME|HALIME"
"AILIN","LIN","F",100,"",100,2307,1,"AILIM|AILYN|ALIM|ALIN|ALINR|AYLIN|EELIN|EILIN|ELIM|ELIN|ELYN|HALIM|HALIN|HELIM|HELIN|HELYN|LIM|LIN|LYN|LYNN|OLIN|UILIN"
"AILINE","ALINE","F",87,"",87,530550,1,"AALINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE"
"AILIO","HELIO","M","",24,24,177784,1,"AELIO|ALIO|AULIO|ELEIO|ELHIO|ELIO|ELIOR|HEILIO|HELHIO|HELIIO|HELIO|HILIO|HUELIO|HULIO|IELIO|ILIO|LEIO|LIO|LIOR|LUIO|OELIO|OILIO|UELIO|UILIO|ULIO"
"AILIS","LUIZ","F",25,"",25,2081241,1,"AELIS|ALEIS|ALIS|ALIZ|ALUIS|ALUIZ|ALYS|ELEIS|ELIEIS|ELIS|ELIZ|ELUIS|ELUIZ|ELYS|ELYZ|EULIS|HALIS|HELIS|HELIZ|HELYS|IALIS|ILIS|ILUIZ|LEIS|LEIZ|LEYS|LIIS|LIIZ|LIS|LIUIS|LIUIZ|LIZ|LUIIS|LUIIZ|LUIS|LUIZ|LUYS|LUYZ|LYS|LYZ|OELIS|OLIS|UALIS|UELIS|UILIS|ULIS|YALIS"
"AILISON","ALISON","M","",28,28,99832,1,"AELISON|ALEISON|ALIISON|ALISOM|ALISON|ALIZON|ALYSOM|ALYSON|AULISON|ELEISON|ELISOM|ELISON|ELIZOM|ELIZON|ELYSON|EULISON|HALISOM|HALISON|HALYSON|HELISOM|HELISON|HELYSON|HUALISON|HUELISON|IALISON|IELISON|ILISON|LEISOM|LEISON|LEYSON|LISON|LUISON|OALISON|OELISON|OLISON|UALISOM|UALISON|UELISOM|UELISON|UILISON|ULISON|YALISON"
"AILKA","ILKA","F",41,"",41,10914,1,"AILCA|ELCA|ELKA|HELCA|HELKA|HILCA|HILKA|ILCA|ILKA|UILCA|UILKA|YLCA|YLKA"
"AILLA","LEILA","F",363,"",363,148531,1,"ALAILA|ALEILA|ALILA|ALLA|AYALLA|AYLLA|ELAILA|ELEILA|ELILA|ELLA|ELOILA|EULAILA|EULILA|EULLA|EYLLA|HAILLA|HAYALLA|HAYLLA|HELELA|HELLA|HILLA|HYLLA|IALLA|ILAILA|ILLA|LAILA|LAILAH|LALA|LAULA|LAYLA|LEILA|LEILAH|LEILHA|LELA|LELHA|LEULA|LEYLA|LILA|LILAH|LILHA|LOILA|LOIOLA|LOLA|LUALA|LUILA|LULA|LUYLA|LYLA|OLILA|UILLA|ULLA|YALLA|YLLA|YULLA"
"AILLY","LILI","F",33,"",33,9802,1,"ALELI|ALIELI|ALLEY|ALLI|ALLY|ELIELI|ELILY|ELLEY|ELLI|ELLY|EULALI|HALLEI|HALLEY|HALLY|HELLEY|HELLI|HELLY|HIALLY|HILLY|HIULLY|HOLLY|HULLI|HULLY|IALLY|ILLY|IOLLY|IULLI|IULLY|LAELI|LAELY|LAILI|LALI|LALY|LEILI|LEILY|LELI|LELIR|LELY|LEOLI|LIELI|LIELY|LILI|LILY|LOELI|LOILI|LOLI|LUALI|LUELI|LUELY|LUILI|LULI|LULY|UILLI|ULLI|ULLY|YALLI|YALLY|YULLI|YULLY"
"AILMA","ILMA","F",1166,"",1166,65113,1,"AELMA|AILMAR|ALMA|ALMAR|AYLMA|EILMA|ELMA|ELMAR|HELMA|HELMAR|HILMA|HILMAR|HUILMA|HYLMA|IELMA|ILMA|ILMAR|IULMA|LMA|OELMA|OILMA|OLMA|OLMAR|UELMA|UILMA|UILMAR|ULMA|YLMA"
"AILME","ELMER","F",46,"",46,940,1,"ALMER|ELME|ELMER|HELME|HELMER|ILME"
"AILMO","ELMO","M","",40,40,8502,1,"AELMO|ALMO|ALMOR|ELMO|HELMO|HILMO|IELMO|ILMO|UELMO|UILMO"
"AILNE","ALNE","F",33,"",33,655,1,"ALNE|ELNE|ELNER|ILNE"
"AILO","ELHO","M","",74,74,4873,1,"AILOR|ALO|ALOR|AULO|ELHO|ELO|ELOH|ELOR|EOLO|EULO|HELHO|HELO|HELUO|HILO|IALO|ILHO|ILO|ILOR|IULO|LO|LOR|LUO|OAULO|UELHO|UILO|ULO|YULO"
"AILOM","ELON","M","",37,37,4241,1,"AILON|AILYON|ALOM|ALON|AYLON|EILON|ELOM|ELON|ELYON|HAILON|HAYLON|HELOM|HELON|HILON|ILON|LON|LYON|UILON"
"AILON","ELON","M","",649,649,4241,1,"AILOM|AILYON|ALOM|ALON|AYLON|EILON|ELOM|ELON|ELYON|HAILON|HAYLON|HELOM|HELON|HILON|ILON|LON|LYON|UILON"
"AILOR","ELHO","M","",41,41,4873,1,"AILO|ALO|ALOR|AULO|ELHO|ELO|ELOH|ELOR|EOLO|EULO|HELHO|HELO|HELUO|HILO|IALO|ILHO|ILO|ILOR|IULO|LO|LOR|LUO|OAULO|UELHO|UILO|ULO|YULO"
"AILSA","ELZA","F",365,"",365,196865,1,"AELZA|AILZA|ALSA|ALZA|EILZA|ELSA|ELZA|EULZA|HELSA|HELZA|HILSA|HILZA|IELZA|ILSA|ILZA|UILSA|UILZA|YLZA"
"AILSE","ILSE","F",70,"",70,7403,1,"AILZE|ELSE|ELSER|ELZE|ELZER|HILSE|HILZE|ILSE|ILZE"
"AILSO","ELSO","M","",201,201,8928,1,"AELSO|AILZO|ALSO|EILZO|ELSO|ELZO|HELSO|HILSO|ILSO|ILZO|UELSO|UILSO"
"AILSOM","ELSON","M","",538,538,81766,1,"AELSOM|AELSON|AILSON|AILZON|ALSOM|ALSON|AYLSON|EIELSON|EILSOM|EILSON|ELSOM|ELSON|ELZON|EUILSON|HAILSON|HELSOM|HELSON|HILSOM|HILSON|HUELSON|HUILSON|IELSON|ILSOM|ILSON|ILZON|LSON|OELSON|OILSOM|OILSON|OLSON|UALSON|UELSOM|UELSON|UILSOM|UILSON|ULSON|YLSON"
"AILSON","ELSON","M",61,11944,12005,81766,0.99,"AELSOM|AELSON|AILSOM|AILZON|ALSOM|ALSON|AYLSON|EIELSON|EILSOM|EILSON|ELSOM|ELSON|ELZON|EUILSON|HAILSON|HELSOM|HELSON|HILSOM|HILSON|HUELSON|HUILSON|IELSON|ILSOM|ILSON|ILZON|LSON|OELSON|OILSOM|OILSON|OLSON|UALSON|UELSOM|UELSON|UILSOM|UILSON|ULSON|YLSON"
"AILSSOM","AILSSON","M","",31,31,857,1,"AELSSON|AILSSON|ALSSON|ELSSOM|ELSSON|ILSSON|UELSSON|UILSSON"
"AILSSON","AILSSON","M","",263,263,857,1,"AELSSON|AILSSOM|ALSSON|ELSSOM|ELSSON|ILSSON|UELSSON|UILSSON"
"AILTA","ALTA","F",290,"",290,3638,1,"ALTA|ALTAR|ELTA|HELTA|HILTA|ILTA|UILTA"
"AILTHON","AILTON","M","",22,22,246915,1,"AAILTON|AELTOM|AELTON|AHILTON|AILTOM|AILTON|ALTOM|ALTON|AYLTOM|AYLTON|EILTON|ELTHON|ELTOM|ELTON|HAELTON|HAILTOM|HAILTON|HAYLTON|HEILTON|HELTHON|HELTOM|HELTON|HILTOM|HILTON|HLTON|HUELTON|HUILTON|HYLTON|IELTON|ILTOM|ILTON|LTON|OELTON|OILTON|UELTOM|UELTON|UILTOM|UILTON|ULTON|YLTON"
"AILTO","AILTO","M","",2591,2591,5907,1,"AELTO|AILTOR|ALTO|EILTOR|ELTO|ELTOR|HAILTO|HEILTOR|HELTO|HELTOR|HILTO|HILTOR|ILTO|ILTOR|UELTO|UILTO"
"AILTOM","AILTON","M",25,5169,5194,246915,1,"AAILTON|AELTOM|AELTON|AHILTON|AILTHON|AILTON|ALTOM|ALTON|AYLTOM|AYLTON|EILTON|ELTHON|ELTOM|ELTON|HAELTON|HAILTOM|HAILTON|HAYLTON|HEILTON|HELTHON|HELTOM|HELTON|HILTOM|HILTON|HLTON|HUELTON|HUILTON|HYLTON|IELTON|ILTOM|ILTON|LTON|OELTON|OILTON|UELTOM|UELTON|UILTOM|UILTON|ULTON|YLTON"
"AILTON","AILTON","M",367,113335,113702,246915,1,"AAILTON|AELTOM|AELTON|AHILTON|AILTHON|AILTOM|ALTOM|ALTON|AYLTOM|AYLTON|EILTON|ELTHON|ELTOM|ELTON|HAELTON|HAILTOM|HAILTON|HAYLTON|HEILTON|HELTHON|HELTOM|HELTON|HILTOM|HILTON|HLTON|HUELTON|HUILTON|HYLTON|IELTON|ILTOM|ILTON|LTON|OELTON|OILTON|UELTOM|UELTON|UILTOM|UILTON|ULTON|YLTON"
"AILTOR","AILTO","M","",44,44,5907,1,"AELTO|AILTO|ALTO|EILTOR|ELTO|ELTOR|HAILTO|HEILTOR|HELTO|HELTOR|HILTO|HILTOR|ILTO|ILTOR|UELTO|UILTO"
"AILY","ELI","F",33,"",33,70523,1,"AELI|AILI|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY"
"AILYN","LIN","F",31,"",31,2307,1,"AILIM|AILIN|ALIM|ALIN|ALINR|AYLIN|EELIN|EILIN|ELIM|ELIN|ELYN|HALIM|HALIN|HELIM|HELIN|HELYN|LIM|LIN|LYN|LYNN|OLIN|UILIN"
"AILYON","ELON","M","",21,21,4241,1,"AILOM|AILON|ALOM|ALON|AYLON|EILON|ELOM|ELON|ELYON|HAILON|HAYLON|HELOM|HELON|HILON|ILON|LON|LYON|UILON"
"AILZA","ELZA","F",1505,"",1505,196865,1,"AELZA|AILSA|ALSA|ALZA|EILZA|ELSA|ELZA|EULZA|HELSA|HELZA|HILSA|HILZA|IELZA|ILSA|ILZA|UILSA|UILZA|YLZA"
"AILZE","ILSE","F",25,"",25,7403,1,"AILSE|ELSE|ELSER|ELZE|ELZER|HILSE|HILZE|ILSE|ILZE"
"AILZO","ELSO","M","",45,45,8928,1,"AELSO|AILSO|ALSO|EILZO|ELSO|ELZO|HELSO|HILSO|ILSO|ILZO|UELSO|UILSO"
"AILZON","ELSON","M","",30,30,81766,1,"AELSOM|AELSON|AILSOM|AILSON|ALSOM|ALSON|AYLSON|EIELSON|EILSOM|EILSON|ELSOM|ELSON|ELZON|EUILSON|HAILSON|HELSOM|HELSON|HILSOM|HILSON|HUELSON|HUILSON|IELSON|ILSOM|ILSON|ILZON|LSON|OELSON|OILSOM|OILSON|OLSON|UALSON|UELSOM|UELSON|UILSOM|UILSON|ULSON|YLSON"
"AIMA","AIMAR","F",35,"",35,869,1,"AIMAR|AYMAR|IAMA|IAMAR|YAMA|YAMAR"
"AIMAN","AYMAN","M","",42,42,105,1,"AYMAN"
"AIMAR","AIMAR","M",115,362,477,869,0.76,"AIMA|AYMAR|IAMA|IAMAR|YAMA|YAMAR"
"AIMARA","IAMARA","F",142,"",142,1667,1,"AYMARA|IAMARA|YAMARA"
"AIMBERE","AIMBERE","M","",40,40,40,1,""
"AIME","AIME","F",1284,39,1323,2109,0.97,"AIMER|AIMME|AYME|AYMER|AYMME|HAIME|HAYME|IAME|YAME"
"AIMEE","AIMEE","F",963,"",963,1198,1,"AYMEE"
"AIMER","AIME","F",67,"",67,2109,1,"AIME|AIMME|AYME|AYMER|AYMME|HAIME|HAYME|IAME|YAME"
"AIMI","IAMI","F",24,"",24,114,1,"AIMIR|AYMI|IAMI|IAMIR|YAMI"
"AIMME","AIME","F",23,"",23,2109,1,"AIME|AIMER|AYME|AYMER|AYMME|HAIME|HAYME|IAME|YAME"
"AIMORE","AIMORE","M","",345,345,453,1,"AYMORE"
"AINA","IANA","F",486,"",486,15462,1,"AYNA|AYNNA|HAINA|HAYNA|HAYNNA|HIANA|HIANNA|HYANA|HYANNA|IANA|IANNA|IHANA|UIANA|YANA|YANNA"
"AINAN","AINAN","F",32,22,54,54,0.59,"IANAN"
"AINARA","IANARA","F",306,"",306,2604,1,"AYNARA|HAINARA|HAYNARA|HIANARA|HYANARA|IANARA|IANNARA|YANARA|YANNARA"
"AINDRA","IANDRA","F",42,"",42,5810,1,"HIANDRA|HYANDRA|IANDRA|YANDRA"
"AINE","IANE","F",759,"",759,14837,1,"AINER|AINNE|AUINE|AYNE|AYNNE|HAINE|HAINER|HAYNE|HAYNER|HAYNNE|HAYNNER|HIANE|HIANNE|HYANE|HYANNE|IANAE|IANE|IANNE|UIANE|YANAE|YANE|YANNE"
"AINEE","AINEE","F",40,"",40,40,1,""
"AINES","IANES","F",40,"",40,418,1,"IANES|YANES|YANEZ|YANNES"
"AINETE","IANETE","F",25,"",25,133,1,"IANETE"
"AINGRID","AINGRID","F",23,"",23,23,1,""
"AINI","IANI","F",47,"",47,3325,1,"AINY|HAINY|HIANI|HIANNY|HIANY|IANEI|IANI|IANIR|IANNI|IANNY|IANY|YANI|YANNI|YANNY|YANY"
"AINNE","IANE","F",38,"",38,14837,1,"AINE|AINER|AUINE|AYNE|AYNNE|HAINE|HAINER|HAYNE|HAYNER|HAYNNE|HAYNNER|HIANE|HIANNE|HYANE|HYANNE|IANAE|IANE|IANNE|UIANE|YANAE|YANE|YANNE"
"AINOA","AINOA","F",375,"",375,452,1,"AYNOA"
"AINOAM","AINOAN","F",50,"",50,456,1,"AINOAN|AYNOAN"
"AINOAN","AINOAN","F",317,39,356,456,0.89,"AINOAM|AYNOAN"
"AINY","IANI","F",31,"",31,3325,1,"AINI|HAINY|HIANI|HIANNY|HIANY|IANEI|IANI|IANIR|IANNI|IANNY|IANY|YANI|YANNI|YANNY|YANY"
"AIOLANDA","IOLANDA","F",23,"",23,72360,1,"AILANDA|ALANDA|ELANDA|EOLANDA|EULANDA|HIOLANDA|HOLANDA|HYOLANDA|IHOLANDA|ILANDA|IOALANDA|IOLANDA|LANDA|OLANDA|YIOLANDA|YOLANDA"
"AION","AION","M","",22,22,22,1,""
"AIONA","AIONA","F",29,"",29,29,1,""
"AIONARA","AIONARA","F",69,"",69,69,1,""
"AIONE","AIONE","F",90,"",90,90,1,""
"AIR","AIR","M",305,1042,1347,1577,0.77,"AHIR|AI|AYR|HAI|HAIR|HAY|IA|IAR|YA"
"AIRA","IARA","F",1477,89,1566,126238,0.94,"AYRA|HAIRA|HAYRA|HIARA|HUIARA|HUYARA|HYARA|IARA|IHARA|UIARA|UYARA|YARA|YARAH|YHARA"
"AIRACI","IARACI","F",25,"",25,419,1,"IARACI|IARACY|YARACI"
"AIRAM","AIRAN","F",276,246,522,2459,0.53,"AIRAN|AYRAM|AYRAN|HAIRAN|HAYRAN|IARAN"
"AIRAN","AIRAN","M",563,932,1495,2459,0.62,"AIRAM|AYRAM|AYRAN|HAIRAN|HAYRAN|IARAN"
"AIRANA","AIRANA","F",67,"",67,114,1,"AYRANA|IARANA"
"AIRANE","AIRANE","F",82,"",82,82,1,""
"AIRANI","IARANI","F",21,"",21,55,1,"IARANI"
"AIRAO","AIRAO","M","",25,25,25,1,""
"AIRCE","AIRCE","F",49,"",49,49,1,""
"AIRDES","AIRDES","F",27,"",27,27,1,""
"AIRDO","AIRDO","M","",21,21,21,1,""
"AIRE","AIRE","F",49,43,92,113,0.53,"AYRE|IARE"
"AIRENE","AIRENE","F",44,"",44,44,1,""
"AIRES","AIRES","M",716,3165,3881,4754,0.82,"AUIRES|AYRES|HAIRES|IARES"
"AIRI","IARI","F",38,25,63,145,0.6,"AIRY|IARI|IARY|YARI"
"AIRIA","IARIA","F",32,"",32,201,1,"IARAI|IARIA"
"AIRIANE","IARIANE","F",27,"",27,68,1,"IARIANE"
"AIRINA","IARINA","F",21,"",21,71,1,"IARINA|YARINA"
